date,raila,ruto,karua,rigathi
2022-07-23,15,19,6,5
2022-07-23,0,0,0,0
2022-07-23,0,0,0,0
2022-07-23,0,0,0,0
2022-07-23,0,0,0,0
2022-07-23,0,0,0,0
2022-07-24,5,4,2,0
2022-07-24,1,1,0,0
2022-07-24,0,0,0,0
2022-07-24,0,0,0,0
2022-07-24,0,0,0,0
2022-07-25,0,0,0,0
2022-07-25,0,0,0,0
2022-07-25,0,0,0,0
2022-07-25,4,4,0,0
2022-07-25,0,0,0,0
2022-07-25,0,1,0,0
2022-07-25,0,0,0,0
2022-07-25,0,0,0,0
2022-07-25,2,2,1,0
2022-07-25,0,0,0,0
2022-07-25,0,1,0,0
2022-07-25,0,0,0,0
2022-07-26,0,0,0,0
2022-07-26,0,0,0,0
2022-07-26,0,0,0,0
2022-07-26,2,0,1,0
2022-07-26,0,0,0,0
2022-07-26,2,2,0,0
2022-07-26,0,1,0,0
2022-07-26,0,0,0,0
2022-07-26,0,0,0,0
2022-07-26,0,0,0,0
2022-07-26,0,0,0,0
2022-07-26,0,0,0,0
2022-07-26,0,1,0,0
2022-07-26,0,0,0,0
2022-07-26,1,1,1,1
2022-07-26,0,0,0,0
2022-07-26,2,0,1,0
2022-07-26,0,0,0,0
2022-07-26,0,0,0,0
2022-07-26,0,0,0,0
2022-07-26,1,0,0,0
2022-07-26,0,0,0,0
2022-07-26,0,0,0,0
2022-07-26,0,0,0,0
2022-07-27,0,2,0,0
2022-07-27,1,5,1,0
2022-07-27,1,2,0,0
2022-07-27,0,0,0,0
2022-07-27,0,0,0,0
2022-07-27,0,0,0,0
2022-07-27,0,0,0,0
2022-07-27,1,1,1,1
2022-07-27,1,0,0,0
2022-07-27,1,1,0,0
2022-07-27,0,0,0,0
2022-07-27,0,0,0,0
2022-07-27,0,0,0,0
2022-07-28,0,0,0,0
2022-07-28,0,0,0,0
2022-07-28,0,0,0,0
2022-07-28,6,5,0,0
2022-07-28,0,0,0,0
2022-07-28,2,1,1,0
2022-07-28,0,0,0,1
2022-07-28,1,4,1,0
2022-07-29,0,1,0,0
2022-07-29,3,4,2,1
2022-07-29,2,2,0,0
2022-07-29,0,0,0,0
2022-07-29,4,4,0,0
2022-07-29,0,0,0,0
2022-07-29,0,0,0,0
2022-07-29,0,0,0,0
2022-07-30,2,1,0,0
2022-07-30,0,0,0,0
2022-07-30,0,0,0,0
2022-07-30,5,5,0,0
2022-07-31,4,6,0,0
2022-07-31,0,1,0,0
2022-07-31,0,1,0,0
2022-07-31,1,1,0,0
2022-07-31,0,2,0,0
2022-08-01,3,4,0,0
2022-08-01,1,3,0,0
2022-08-01,2,3,0,0
2022-08-01,1,4,1,3
2022-08-02,1,0,0,0
2022-08-02,1,0,1,0
